LAT,LON,Name,
-25.066667,-130.1,Pitcairn Islands,
52,20,Poland,
39.5,-8,Portugal,
18.2482882,-66.4998941,Puerto Rico,
25.5,51.25,Qatar,
-1,15,Republic of the Congo,
-21.1,55.6,Reunion,
46,25,Romania,
60,100,Russia,
-2,30,Rwanda,
17.9,-62.833333,Saint Barthelemy,
17.333333,-62.75,Saint Kitts and Nevis,
13.883333,-60.966667,Saint Lucia,
18.075,-63.05833,Saint Martin,
46.833333,-56.333333,Saint Pierre and Miquelon,
13.083333,-61.2,Saint Vincent and the Grenadines,
-13.803096,-172.178309,Samoa,
43.933333,12.416667,San Marino,
1,7,Sao Tome and Principe,
25,45,Saudi Arabia,
14,-14,Senegal,
44,21,Serbia,
-4.583333,55.666667,Seychelles,
8.5,-11.5,Sierra Leone,
1.366667,103.8,Singapore,
18.04167,-63.06667,Sint Maarten,
48.666667,19.5,Slovakia,
46.25,15.166667,Slovenia,
-8,159,Solomon Islands,
6,48,Somalia,
-30,26,South Africa,
-56,-33,South Georgia and South Sandwich Islands,
37,127.5,South Korea,
8,30,South Sudan,
40,-4,Spain,
7,81,Sri Lanka,
16,30,Sudan,
4,-56,Suriname,
78,20,Svalbard,
-26.5,31.5,Swaziland,
62,15,Sweden,
47,8,Switzerland,
35,38,Syria,
24,121,Taiwan,
39,71,Tajikistan,
-6,35,Tanzania,
15,100,Thailand,
-8.833333,125.75,Timor-Leste,
8,1.166667,Togo,
-9,-171.75,Tokelau,
-20,-175,Tonga,
11,-61,Trinidad and Tobago,
-15.866667,54.416667,Tromelin Island,
34,9,Tunisia,
39.059012,34.911546,Turkey,
40,60,Turkmenistan,
21.733333,-71.583333,Turks and Caicos Islands,
-8,178,Tuvalu,
2,33,Uganda,
49,32,Ukraine,
24,54,United Arab Emirates,
54,-4,United Kingdom,
39.828175,-98.5795,United States,
-33,-56,Uruguay,
5.8811111,-162.0725,US Minor Outlying Islands,
18.3482891,-64.9834807,US Virgin Islands,
41.707542,63.84911,Uzbekistan,
-16,167,Vanuatu,
41.9,12.45,Vatican City,
8,-66,Venezuela,
16.166667,107.833333,Vietnam,
-13.3,-176.2,Wallis and Futuna,
31.666667,35.25,West Bank,
25,-13.5,Western Sahara,
15.5,47.5,Yemen,
-15,30,Zambia,
-19,29,Zimbabwe,
