id,County,pop2014
12017,"Citrus County, Florida",139377
12019,"Clay County, Florida",199798
12021,"Collier County, Florida",348777
12023,"Columbia County, Florida",67857
12027,"DeSoto County, Florida",35012
12029,"Dixie County, Florida",15907
12031,"Duval County, Florida",897698
12033,"Escambia County, Florida",310659
12035,"Flagler County, Florida",102408
12037,"Franklin County, Florida",11815
12039,"Gadsden County, Florida",46281
12041,"Gilchrist County, Florida",16997
12043,"Glades County, Florida",13635
12045,"Gulf County, Florida",15944
12047,"Hamilton County, Florida",14048
12049,"Hardee County, Florida",27469
12051,"Hendry County, Florida",38505
12053,"Hernando County, Florida",175855
12055,"Highlands County, Florida",98236
12057,"Hillsborough County, Florida",1316298
12059,"Holmes County, Florida",19650
12061,"Indian River County, Florida",144755
12063,"Jackson County, Florida",48801
12065,"Jefferson County, Florida",14050
12067,"Lafayette County, Florida",8835
12069,"Lake County, Florida",315690
12071,"Lee County, Florida",679513
12073,"Leon County, Florida",283988
12075,"Levy County, Florida",39613
12077,"Liberty County, Florida",8360
12079,"Madison County, Florida",18518
12081,"Manatee County, Florida",351746
12083,"Marion County, Florida",339167
12085,"Martin County, Florida",153392
12086,"Miami-Dade County, Florida",2662874
12087,"Monroe County, Florida",77136
12089,"Nassau County, Florida",76619
12091,"Okaloosa County, Florida",196512
12093,"Okeechobee County, Florida",39149
12095,"Orange County, Florida",1253001
12097,"Osceola County, Florida",310211
12099,"Palm Beach County, Florida",1397710
12101,"Pasco County, Florida",485331
12103,"Pinellas County, Florida",938098
12105,"Polk County, Florida",634638
12107,"Putnam County, Florida",72143
12109,"St. Johns County, Florida",217919
12111,"St. Lucie County, Florida",291028
12113,"Santa Rosa County, Florida",163422
12115,"Sarasota County, Florida",396962
12117,"Seminole County, Florida",442516
12119,"Sumter County, Florida",114350
12121,"Suwannee County, Florida",44022
12123,"Taylor County, Florida",22582
12125,"Union County, Florida",15190
12127,"Volusia County, Florida",507531
12129,"Wakulla County, Florida",31432
12131,"Walton County, Florida",61530
12133,"Washington County, Florida",24451
13001,"Appling County, Georgia",18540
13003,"Atkinson County, Georgia",8223
13005,"Bacon County, Georgia",11281
13007,"Baker County, Georgia",3255
13009,"Baldwin County, Georgia",45909
13011,"Banks County, Georgia",18295
13013,"Barrow County, Georgia",73240
13015,"Bartow County, Georgia",101736
13017,"Ben Hill County, Georgia",17464
13019,"Berrien County, Georgia",18700
13021,"Bibb County, Georgia",153905
13023,"Bleckley County, Georgia",12795
13025,"Brantley County, Georgia",18417
13027,"Brooks County, Georgia",15418
13029,"Bryan County, Georgia",33906
13031,"Bulloch County, Georgia",72087
13033,"Burke County, Georgia",22709
13035,"Butts County, Georgia",23368
13037,"Calhoun County, Georgia",6463
13039,"Camden County, Georgia",52027
13043,"Candler County, Georgia",10888
13045,"Carroll County, Georgia",114093
13047,"Catoosa County, Georgia",65621
13049,"Charlton County, Georgia",12897
13051,"Chatham County, Georgia",283379
13053,"Chattahoochee County, Georgia",11837
13055,"Chattooga County, Georgia",24939
13057,"Cherokee County, Georgia",230985
13059,"Clarke County, Georgia",120938
13061,"Clay County, Georgia",3102
13063,"Clayton County, Georgia",267542
13065,"Clinch County, Georgia",6831
13067,"Cobb County, Georgia",730981
13069,"Coffee County, Georgia",42811
13071,"Colquitt County, Georgia",46102
13073,"Columbia County, Georgia",139257
13075,"Cook County, Georgia",17214
13077,"Coweta County, Georgia",135571
13079,"Crawford County, Georgia",12387
13081,"Crisp County, Georgia",22934
13083,"Dade County, Georgia",16389
13085,"Dawson County, Georgia",22957
13087,"Decatur County, Georgia",27220
13089,"DeKalb County, Georgia",722161
13091,"Dodge County, Georgia",20976
13093,"Dooly County, Georgia",14188
13095,"Dougherty County, Georgia",92407
13097,"Douglas County, Georgia",138776
13099,"Early County, Georgia",10491
13101,"Echols County, Georgia",4003
13103,"Effingham County, Georgia",55423
13105,"Elbert County, Georgia",19438
13107,"Emanuel County, Georgia",22755
13109,"Evans County, Georgia",10898
13111,"Fannin County, Georgia",23753
13113,"Fayette County, Georgia",109664
13115,"Floyd County, Georgia",96063
13117,"Forsyth County, Georgia",204302
13119,"Franklin County, Georgia",22264
13121,"Fulton County, Georgia",996319
13123,"Gilmer County, Georgia",28829
13125,"Glascock County, Georgia",3053
13127,"Glynn County, Georgia",82175
13129,"Gordon County, Georgia",56047
13131,"Grady County, Georgia",25359
13133,"Greene County, Georgia",16490
13135,"Gwinnett County, Georgia",877922
13137,"Habersham County, Georgia",43752
13139,"Hall County, Georgia",190761
13141,"Hancock County, Georgia",8509
13143,"Haralson County, Georgia",28641
13145,"Harris County, Georgia",32876
13147,"Hart County, Georgia",25377
13149,"Heard County, Georgia",11603
13151,"Henry County, Georgia",213869
13153,"Houston County, Georgia",149111
13155,"Irwin County, Georgia",9104
13157,"Jackson County, Georgia",61870
13159,"Jasper County, Georgia",13432
13161,"Jeff Davis County, Georgia",14859
13163,"Jefferson County, Georgia",16272
13165,"Jenkins County, Georgia",9125
13167,"Johnson County, Georgia",9701
13169,"Jones County, Georgia",28787
13171,"Lamar County, Georgia",18207
13173,"Lanier County, Georgia",10373
13175,"Laurens County, Georgia",47851
13177,"Lee County, Georgia",29191
13179,"Liberty County, Georgia",65198
13181,"Lincoln County, Georgia",7622
13183,"Long County, Georgia",17113
13185,"Lowndes County, Georgia",113523
13187,"Lumpkin County, Georgia",31176
13189,"McDuffie County, Georgia",21370
13191,"McIntosh County, Georgia",14214
13193,"Macon County, Georgia",13792
13195,"Madison County, Georgia",28312
13197,"Marion County, Georgia",8797
13199,"Meriwether County, Georgia",21198
13201,"Miller County, Georgia",5958
13205,"Mitchell County, Georgia",22771
13207,"Monroe County, Georgia",27051
13209,"Montgomery County, Georgia",8991
13211,"Morgan County, Georgia",17956
13213,"Murray County, Georgia",39410
13215,"Muscogee County, Georgia",200887
13217,"Newton County, Georgia",103675
13219,"Oconee County, Georgia",35093
13221,"Oglethorpe County, Georgia",14673
13223,"Paulding County, Georgia",148987
13225,"Peach County, Georgia",26922
13227,"Pickens County, Georgia",29997
13229,"Pierce County, Georgia",18991
13231,"Pike County, Georgia",17784
13233,"Polk County, Georgia",41133
13235,"Pulaski County, Georgia",11483
13237,"Putnam County, Georgia",21192
13239,"Quitman County, Georgia",2315
13241,"Rabun County, Georgia",16243
13243,"Randolph County, Georgia",7313
13245,"Richmond County, Georgia",201368
13247,"Rockdale County, Georgia",87754
13249,"Schley County, Georgia",5163
13251,"Screven County, Georgia",14085
13253,"Seminole County, Georgia",8686
13255,"Spalding County, Georgia",63988
13257,"Stephens County, Georgia",25480
13259,"Stewart County, Georgia",5744
13261,"Sumter County, Georgia",31232
13263,"Talbot County, Georgia",6390
13265,"Taliaferro County, Georgia",1693
13267,"Tattnall County, Georgia",25224
13269,"Taylor County, Georgia",8442
13271,"Telfair County, Georgia",16518
13273,"Terrell County, Georgia",9132
13275,"Thomas County, Georgia",44959
13277,"Tift County, Georgia",40704
13279,"Toombs County, Georgia",27282
13281,"Towns County, Georgia",11098
13283,"Treutlen County, Georgia",6778
13285,"Troup County, Georgia",69469
13287,"Turner County, Georgia",8153
13289,"Twiggs County, Georgia",8320
13291,"Union County, Georgia",21984
13293,"Upson County, Georgia",26256
13295,"Walker County, Georgia",68218
13297,"Walton County, Georgia",87615
13299,"Ware County, Georgia",35515
13301,"Warren County, Georgia",5520
13303,"Washington County, Georgia",20635
13305,"Wayne County, Georgia",29949
13307,"Webster County, Georgia",2649
13309,"Wheeler County, Georgia",7995
13311,"White County, Georgia",27970
13313,"Whitfield County, Georgia",103542
13315,"Wilcox County, Georgia",8847
13317,"Wilkes County, Georgia",9940
13319,"Wilkinson County, Georgia",9326
13321,"Worth County, Georgia",20940
15001,"Hawaii County, Hawaii",194190
15003,"Honolulu County, Hawaii",991788
15005,"Kalawao County, Hawaii",89
15007,"Kauai County, Hawaii",70475
15009,"Maui County, Hawaii",163019
16001,"Ada County, Idaho",426236
16003,"Adams County, Idaho",3861
16005,"Bannock County, Idaho",83347
16007,"Bear Lake County, Idaho",5957
16009,"Benewah County, Idaho",9118
16011,"Bingham County, Idaho",45269
16013,"Blaine County, Idaho",21482
16015,"Boise County, Idaho",6824
16017,"Bonner County, Idaho",41585
16019,"Bonneville County, Idaho",108623
16021,"Boundary County, Idaho",10979
16023,"Butte County, Idaho",2622
16025,"Camas County, Idaho",1039
16027,"Canyon County, Idaho",203143
16029,"Caribou County, Idaho",6837
16031,"Cassia County, Idaho",23540
16033,"Clark County, Idaho",867
16035,"Clearwater County, Idaho",8562
16037,"Custer County, Idaho",4140
16039,"Elmore County, Idaho",26094
16041,"Franklin County, Idaho",13021
16043,"Fremont County, Idaho",12867
16045,"Gem County, Idaho",16866
16047,"Gooding County, Idaho",15064
16049,"Idaho County, Idaho",16215
16051,"Jefferson County, Idaho",27021
16053,"Jerome County, Idaho",22818
16055,"Kootenai County, Idaho",147326
16057,"Latah County, Idaho",38411
16059,"Lemhi County, Idaho",7726
16061,"Lewis County, Idaho",3838
16063,"Lincoln County, Idaho",5316
16065,"Madison County, Idaho",38038
16067,"Minidoka County, Idaho",20323
16069,"Nez Perce County, Idaho",40007
16071,"Oneida County, Idaho",4184
16073,"Owyhee County, Idaho",11353
16075,"Payette County, Idaho",22836
16077,"Power County, Idaho",7617
16079,"Shoshone County, Idaho",12390
16081,"Teton County, Idaho",10341
16083,"Twin Falls County, Idaho",80914
16085,"Valley County, Idaho",9826
16087,"Washington County, Idaho",10021
17001,"Adams County, Illinois",66988
17003,"Alexander County, Illinois",7492
17005,"Bond County, Illinois",17269
17007,"Boone County, Illinois",53869
17009,"Brown County, Illinois",6832
17011,"Bureau County, Illinois",33840
17013,"Calhoun County, Illinois",4956
17015,"Carroll County, Illinois",14715
17017,"Cass County, Illinois",13156
17019,"Champaign County, Illinois",207133
17021,"Christian County, Illinois",33892
17023,"Clark County, Illinois",16180
17025,"Clay County, Illinois",13520
17027,"Clinton County, Illinois",37857
17029,"Coles County, Illinois",53320
17031,"Cook County, Illinois",5246456
17033,"Crawford County, Illinois",19393
17035,"Cumberland County, Illinois",10833
17037,"DeKalb County, Illinois",105462
17039,"De Witt County, Illinois",16284
17041,"Douglas County, Illinois",19889
17043,"DuPage County, Illinois",932708
17045,"Edgar County, Illinois",17841
17047,"Edwards County, Illinois",6617
17049,"Effingham County, Illinois",34320
17051,"Fayette County, Illinois",21870
17053,"Ford County, Illinois",13688
17055,"Franklin County, Illinois",39411
17057,"Fulton County, Illinois",36007
17059,"Gallatin County, Illinois",5291
17061,"Greene County, Illinois",13434
17063,"Grundy County, Illinois",50425
17065,"Hamilton County, Illinois",8296
17067,"Hancock County, Illinois",18564
17069,"Hardin County, Illinois",4129
17071,"Henderson County, Illinois",6916
17073,"Henry County, Illinois",49635
17075,"Iroquois County, Illinois",28879
17077,"Jackson County, Illinois",59677
17079,"Jasper County, Illinois",9623
17081,"Jefferson County, Illinois",38534
17083,"Jersey County, Illinois",22571
17085,"Jo Daviess County, Illinois",22254
17087,"Johnson County, Illinois",12601
17089,"Kane County, Illinois",527306
17091,"Kankakee County, Illinois",111375
17093,"Kendall County, Illinois",121350
17095,"Knox County, Illinois",52069
17097,"Lake County, Illinois",705186
17099,"LaSalle County, Illinois",111241
17101,"Lawrence County, Illinois",16519
17103,"Lee County, Illinois",34735
17105,"Livingston County, Illinois",37903
17107,"Logan County, Illinois",29746
17109,"McDonough County, Illinois",31880
17111,"McHenry County, Illinois",307283
17113,"McLean County, Illinois",174061
17115,"Macon County, Illinois",108350
17117,"Macoupin County, Illinois",46453
17119,"Madison County, Illinois",266560
17121,"Marion County, Illinois",38571
17123,"Marshall County, Illinois",12014
17125,"Mason County, Illinois",13898
17127,"Massac County, Illinois",14905
17129,"Menard County, Illinois",12570
17131,"Mercer County, Illinois",15945
17133,"Monroe County, Illinois",33722
17135,"Montgomery County, Illinois",29359
17137,"Morgan County, Illinois",34929
17139,"Moultrie County, Illinois",14837
17141,"Ogle County, Illinois",52085
17143,"Peoria County, Illinois",187319
17145,"Perry County, Illinois",21672
17147,"Piatt County, Illinois",16431
17149,"Pike County, Illinois",16022
17151,"Pope County, Illinois",4276
17153,"Pulaski County, Illinois",5815
17155,"Putnam County, Illinois",5814
17157,"Randolph County, Illinois",32869
17159,"Richland County, Illinois",16061
17161,"Rock Island County, Illinois",146063
17163,"St. Clair County, Illinois",265729
17165,"Saline County, Illinois",24612
17167,"Sangamon County, Illinois",198997
17169,"Schuyler County, Illinois",7330
17171,"Scott County, Illinois",5204
17173,"Shelby County, Illinois",22048
17175,"Stark County, Illinois",5813
17177,"Stephenson County, Illinois",46435
17179,"Tazewell County, Illinois",135707
17181,"Union County, Illinois",17447
17183,"Vermilion County, Illinois",79728
17185,"Wabash County, Illinois",11549
17187,"Warren County, Illinois",17874
17189,"Washington County, Illinois",14337
17191,"Wayne County, Illinois",16543
17193,"White County, Illinois",14374
17195,"Whiteside County, Illinois",56876
17197,"Will County, Illinois",685419
17199,"Williamson County, Illinois",67008
17201,"Winnebago County, Illinois",288542
17203,"Woodford County, Illinois",39187
18001,"Adams County, Indiana",34791
18003,"Allen County, Indiana",365918
18005,"Bartholomew County, Indiana",80217
18007,"Benton County, Indiana",8700
18009,"Blackford County, Indiana",12401
18011,"Boone County, Indiana",61915
18013,"Brown County, Indiana",14962
18015,"Carroll County, Indiana",19923
18017,"Cass County, Indiana",38438
18019,"Clark County, Indiana",114262
18021,"Clay County, Indiana",26562
18023,"Clinton County, Indiana",32776
18025,"Crawford County, Indiana",10655
18027,"Daviess County, Indiana",32729
18029,"Dearborn County, Indiana",49506
18031,"Decatur County, Indiana",26524
18033,"DeKalb County, Indiana",42383
18035,"Delaware County, Indiana",117074
18037,"Dubois County, Indiana",42345
18039,"Elkhart County, Indiana",201971
18041,"Fayette County, Indiana",23468
18043,"Floyd County, Indiana",76179
18045,"Fountain County, Indiana",16658
18047,"Franklin County, Indiana",22934
18049,"Fulton County, Indiana",20500
18051,"Gibson County, Indiana",33759
18053,"Grant County, Indiana",68569
18055,"Greene County, Indiana",32726
18057,"Hamilton County, Indiana",302623
18059,"Hancock County, Indiana",71978
18061,"Harrison County, Indiana",39299
18063,"Hendricks County, Indiana",156056
18065,"Henry County, Indiana",48995
18067,"Howard County, Indiana",82982
18069,"Huntington County, Indiana",36706
18071,"Jackson County, Indiana",43705
18073,"Jasper County, Indiana",33475
18075,"Jay County, Indiana",21179
18077,"Jefferson County, Indiana",32494
18079,"Jennings County, Indiana",28000
18081,"Johnson County, Indiana",147538
18083,"Knox County, Indiana",37938
18085,"Kosciusko County, Indiana",78564
18087,"LaGrange County, Indiana",38436
18089,"Lake County, Indiana",490228
18091,"LaPorte County, Indiana",111444
18093,"Lawrence County, Indiana",45704
18095,"Madison County, Indiana",130069
18097,"Marion County, Indiana",934243
18099,"Marshall County, Indiana",47107
18101,"Martin County, Indiana",10203
18103,"Miami County, Indiana",35954
18105,"Monroe County, Indiana",143339
18107,"Montgomery County, Indiana",38146
18109,"Morgan County, Indiana",69693
18111,"Newton County, Indiana",14156
18113,"Noble County, Indiana",47618
18115,"Ohio County, Indiana",6035
18117,"Orange County, Indiana",19626
18119,"Owen County, Indiana",20969
18121,"Parke County, Indiana",17233
18123,"Perry County, Indiana",19454
18125,"Pike County, Indiana",12624
18127,"Porter County, Indiana",167076
18129,"Posey County, Indiana",25540
18131,"Pulaski County, Indiana",12967
18133,"Putnam County, Indiana",37618
18135,"Randolph County, Indiana",25384
18137,"Ripley County, Indiana",28497
18139,"Rush County, Indiana",16892
18141,"St. Joseph County, Indiana",267618
18143,"Scott County, Indiana",23712
18145,"Shelby County, Indiana",44579
18147,"Spencer County, Indiana",20801
18149,"Starke County, Indiana",23074
18151,"Steuben County, Indiana",34308
18153,"Sullivan County, Indiana",21050
18155,"Switzerland County, Indiana",10452
18157,"Tippecanoe County, Indiana",183074
18159,"Tipton County, Indiana",15415
18161,"Union County, Indiana",7246
18163,"Vanderburgh County, Indiana",182006
18165,"Vermillion County, Indiana",15693
18167,"Vigo County, Indiana",108175
18169,"Wabash County, Indiana",32252
18171,"Warren County, Indiana",8352
18173,"Warrick County, Indiana",61149
18175,"Washington County, Indiana",27878
18177,"Wayne County, Indiana",67671
18179,"Wells County, Indiana",27862
18181,"White County, Indiana",24453
18183,"Whitley County, Indiana",33403
19001,"Adair County, Iowa",7454
19003,"Adams County, Iowa",3875
19005,"Allamakee County, Iowa",14038
19007,"Appanoose County, Iowa",12661
