objectid,name,code,num,age,acode,sliprate,slipcode,slipsense,dipdirecti,slipdirect,fcode,ftype,mappedscal,secondarys,slipsense_,fault_id,section_id,azimuth,cooperator,length,CFM_URL,FACODE,URL_OLD
4504,Western Monitor Range fault zone,234,1346,"<130,000",3,<0.2,4,N,West,,2,Moderately constrained,250,,1,1346,,23,"Piedmont Geosciences, Inc.",70.04038539000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1346&section_id=,23,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1346
4483,Western Fairview Peak fault,154,1686,"<1,600,000",5,<0.2,4,N,Unspecified,,1,Well constrained,250,,1,1686,,8,"Piedmont Geosciences, Inc.",40.55664695000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1686&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1686
4556,Wheeler fault zone and graben,144,1006,"<750,000",4,<0.2,4,N,Northwest,,1,Well constrained,250,,1,1006,,45,Arizona Geological Survey,4.13460463000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1006&section_id=,14,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1006
4632,"Northern Death Valley fault zone, Grapevine Mountains section",124,141a,"<15,000",2,<0.2,4,RL,Unspecified,,1,Well constrained,250,,3,141,a,194,U.S. Geological Survey,1.21741691000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=141&section_id=a,12,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=141a
4484,Western Fairview Peak fault,254,1686,"<1,600,000",5,<0.2,4,N,Unspecified,,2,Moderately constrained,250,,1,1686,,7,"Piedmont Geosciences, Inc.",29.60177234000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1686&section_id=,25,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1686
4485,Western Humbolt Range fault zone,154,1635,"<1,600,000",5,<0.2,4,N,West,,1,Well constrained,250,,1,1635,,351,"Piedmont Geosciences, Inc.",7.92348138000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1635&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1635
4486,Western Monitor Range fault zone,234,1346,"<130,000",3,<0.2,4,N,Southeast,,2,Moderately constrained,250,,1,1346,,43,"Piedmont Geosciences, Inc.",5.19916426000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1346&section_id=,23,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1346
4487,Western Humboldt Range fault zone,154,1635,"<1,600,000",5,<0.2,4,N,West,,1,Well constrained,250,,1,1635,,31,"Piedmont Geosciences, Inc.",35.27377562000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1635&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1635
4488,Western Humboldt Range fault zone,224,1635,"<15,000",2,<0.2,4,N,West,,2,Moderately constrained,250,,1,1635,,170,"Piedmont Geosciences, Inc.",2.05885636000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1635&section_id=,22,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1635
4489,Western Humbolt Range fault zone,124,1635,"<15,000",2,<0.2,4,N,West,,1,Well constrained,250,,1,1635,,211,"Piedmont Geosciences, Inc.",3.05488134000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1635&section_id=,12,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1635
4505,Cascadia fold and thrush belt,322,784,"<15,000",2,1-5,2,Unk,Unspecified,,3,Inferred,250,,4,784,,338,U.S. Geological Survey,38.60293386000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=784&section_id=,32,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=784
4557,Wheeler fault zone and graben,144,1006,"<750,000",4,<0.2,4,N,Unspecified,,1,Well constrained,250,,1,1006,,32,Arizona Geological Survey,18.24240368000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1006&section_id=,14,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1006
4558,Wheeler fault zone and graben,244,1006,"<750,000",4,<0.2,4,N,West,,2,Moderately constrained,250,,1,1006,,13,Arizona Geological Survey,8.03022315000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1006&section_id=,24,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1006
4506,Western Monitor Range fault zone,254,1346,"<1,600,000",5,<0.2,4,N,Unspecified,,2,Moderately constrained,250,,1,1346,,13,"Piedmont Geosciences, Inc.",71.27919836000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1346&section_id=,25,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1346
4507,Wheeler fault zone and graben,144,1006,"<750,000",4,<0.2,4,N,East,,1,Well constrained,250,,1,1006,,169,Arizona Geological Survey,3.57643639000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1006&section_id=,14,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1006
4508,Eminence fault zone,154,992,"<1,600,000",5,<0.2,4,N,Northwest,,1,Well constrained,250,,1,992,,228,Arizona Geological Survey,3.06259990000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=992&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=992
4509,Western Reveille Range fault zone,154,1364,"<1,600,000",5,<0.2,4,N,Unspecified,,1,Well constrained,250,,1,1364,,341,"Piedmont Geosciences, Inc.",29.82606286000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1364&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1364
4510,Western Reveille Range fault zone,154,1364,"<1,600,000",5,<0.2,4,N,West,,1,Well constrained,250,,1,1364,,342,"Piedmont Geosciences, Inc.",8.12063893000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1364&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1364
4511,Western Reveille Range fault zone,254,1364,"<1,600,000",5,<0.2,4,N,Unspecified,,2,Moderately constrained,250,,1,1364,,183,"Piedmont Geosciences, Inc.",2.97448449000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1364&section_id=,25,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1364
4512,Western Reveille Range fault zone,254,1364,"<1,600,000",5,<0.2,4,N,West,,2,Moderately constrained,250,,1,1364,,189,"Piedmont Geosciences, Inc.",5.91919387000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1364&section_id=,25,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1364
4513,Huachuca fault zone,144,932,"<750,000",4,<0.2,4,N,Northeast,,1,Well constrained,250,,1,932,,135,Arizona Geological Survey,0.77405309000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=932&section_id=,14,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=932
4514,Drum Mountains fault zone,124,2432,"<15,000",2,<0.2,4,N,Unspecified,,1,Well constrained,250,,1,2432,,215,Utah Geological Survey,0.54665580000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=2432&section_id=,12,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=2432
4559,"Fault J""""",122,788,"<15,000",2,1-5,2,N,South,,1,Well constrained,250,LL,1,788,,103,U.S. Geological Survey,10.99130983000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=788&section_id=,12,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=788
4560,White Branch fault zone,144,1809,"<750,000",4,<0.2,4,N,East,,1,Well constrained,100,,1,1809,,6,U.S. Geological Survey,10.05531560000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1809&section_id=,14,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1809
4561,Concho fault,244,1014,"<750,000",4,<0.2,4,N,Northeast,,2,Moderately constrained,250,,1,1014,,119,Arizona Geological Survey,33.38344810000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1014&section_id=,24,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1014
4944,Drum Mountains fault zone,124,2432,"<15,000",2,<0.2,4,N,Unspecified,,1,Well constrained,250,,1,2432,,161,Utah Geological Survey,0.20427512000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=2432&section_id=,12,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=2432
4520,Western Sand Springs Range,154,1682,"<1,600,000",5,<0.2,4,N,Unspecified,,1,Well constrained,250,,1,1682,,15,"Piedmont Geosciences, Inc.",36.17677164000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1682&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1682
4521,"Beaverhead fault, Leadore section",124,603c,"<15,000",2,<0.2,4,N,North,,1,Well constrained,24,,1,603,c,91,U.S. Geological Survey,1.28917113000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=603&section_id=c,12,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=603c
4522,Western Sand Springs Range,254,1682,"<1,600,000",5,<0.2,4,N,Unspecified,,2,Moderately constrained,250,,1,1682,,356,"Piedmont Geosciences, Inc.",7.25262722000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1682&section_id=,25,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1682
4523,Western Snake River Plain fault system,254,635,"<1,600,000",5,<0.2,4,N,Northeast,,2,Moderately constrained,250,,1,635,,338,U.S. Geological Survey,38.00986824000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=635&section_id=,25,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=635
4524,Chiricahua fault zone,344,929,"<750,000",4,<0.2,4,N,East,,3,Inferred,250,,1,929,,182,Arizona Geological Survey,9.35553149000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=929&section_id=,34,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=929
4525,Western Snake River Plain fault system,254,635,"<1,600,000",5,<0.2,4,N,Southwest,,2,Moderately constrained,250,,1,635,,324,U.S. Geological Survey,29.88049304000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=635&section_id=,25,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=635
4526,Drum Mountains fault zone,124,2432,"<15,000",2,<0.2,4,N,Unspecified,,1,Well constrained,250,,1,2432,,207,Utah Geological Survey,0.26145109000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=2432&section_id=,12,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=2432
4527,Eminence fault zone,154,992,"<1,600,000",5,<0.2,4,N,Northwest,,1,Well constrained,250,,1,992,,229,Arizona Geological Survey,3.84869138000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=992&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=992
4528,Eminence fault zone,154,992,"<1,600,000",5,<0.2,4,N,Northwest,,1,Well constrained,250,,1,992,,236,Arizona Geological Survey,2.04421938000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=992&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=992
4529,Cascadia fold and thrush belt,322,784,"<15,000",2,1-5,2,T,West,,3,Inferred,250,,2,784,,331,U.S. Geological Survey,52.26138507000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=784&section_id=,32,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=784
4566,Devils Dream fault (Class B),164,576,Class B,6,<0.2,4,Unk,Unspecified,,1,Well constrained,250,,4,576,,113,U.S. Geological Survey,5.27479066000,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=576,16,
4531,Western Snake River Plain fault system,254,635,"<1,600,000",5,<0.2,4,N,Unspecified,,2,Moderately constrained,250,,1,635,,56,U.S. Geological Survey,267.05681004000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=635&section_id=,25,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=635
4532,Western Tecoma Valley fault,134,1592,"<130,000",3,<0.2,4,N,East,,1,Well constrained,250,,1,1592,,156,"Piedmont Geosciences, Inc.",1.49119779000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1592&section_id=,13,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1592
4533,Western Tecoma Valley fault,134,1592,"<130,000",3,<0.2,4,N,East,,1,Well constrained,250,,1,1592,,33,"Piedmont Geosciences, Inc.",9.47115870000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1592&section_id=,13,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1592
4534,Chiricahua fault zone,344,929,"<750,000",4,<0.2,4,N,East,,3,Inferred,250,,1,929,,185,Arizona Geological Survey,9.92471803000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=929&section_id=,34,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=929
4535,White Branch fault zone,344,1809,"<750,000",4,<0.2,4,N,East,,3,Inferred,100,,1,1809,,8,U.S. Geological Survey,15.88018834000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1809&section_id=,34,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1809
4536,Western Tecoma Valley fault,154,1592,"<1,600,000",5,<0.2,4,N,East,,1,Well constrained,250,,1,1592,,18,"Piedmont Geosciences, Inc.",24.83485261000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1592&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1592
4537,Western Tecoma Valley fault,234,1592,"<130,000",3,<0.2,4,N,East,,2,Moderately constrained,250,,1,1592,,356,"Piedmont Geosciences, Inc.",9.73108203000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1592&section_id=,23,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1592
4538,Western Tecoma Valley fault,254,1592,"<1,600,000",5,<0.2,4,N,East,,2,Moderately constrained,250,,1,1592,,176,"Piedmont Geosciences, Inc.",1.62361069000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1592&section_id=,25,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1592
4546,"Western Toiyabe Range fault zone, main Toiyabe section",133,1336c,"<130,000",3,0.2-1,3,N,Northwest,,1,Well constrained,250,,1,1336,c,24,"Piedmont Geosciences, Inc.",98.07142911000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1336&section_id=c,13,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1336c
4547,"Western Toiyabe Range fault zone, main Toiyabe section",153,1336c,"<1,600,000",5,0.2-1,3,N,Northwest,,1,Well constrained,250,,1,1336,c,188,"Piedmont Geosciences, Inc.",5.24798804000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1336&section_id=c,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1336c
4548,"Western Toiyabe Range fault zone, main Toiyabe section",233,1336c,"<130,000",3,0.2-1,3,N,Northwest,,2,Moderately constrained,250,,1,1336,c,60,"Piedmont Geosciences, Inc.",12.95978792000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1336&section_id=c,23,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1336c
4549,Central Ferry fault (Class B),164,577,Class B,6,<0.2,4,LL,West,,1,Well constrained,250,R,3,577,,347,U.S. Geological Survey,7.96173240000,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=577,16,
4550,Central Ferry fault (Class B),264,577,Class B,6,<0.2,4,LL,West,,2,Moderately constrained,250,R,3,577,,351,U.S. Geological Survey,6.54957379000,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=577,26,
4551,Wheeler Peak fault zone,234,1430,"<130,000",3,<0.2,4,N,West,,2,Moderately constrained,250,,1,1430,,354,"Piedmont Geosciences, Inc.",15.67921751000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1430&section_id=,23,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1430
4552,"Western Toiyabe Range fault zone, southeastern Carico Lake Valley section",134,1336a,"<130,000",3,<0.2,4,N,Northwest,,1,Well constrained,250,,1,1336,a,27,"Piedmont Geosciences, Inc.",39.23869375000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1336&section_id=a,13,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1336a
4553,Whaleshead fault zone,233,897,"<130,000",3,0.2-1,3,LL,Unspecified,,2,Moderately constrained,250,,3,897,,211,U.S. Geological Survey,28.31334401000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=897&section_id=,23,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=897
4554,Wheeler fault zone and graben,144,1006,"<750,000",4,<0.2,4,N,Northwest,,1,Well constrained,250,,1,1006,,48,Arizona Geological Survey,20.49165320000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1006&section_id=,14,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1006
4555,Wheeler fault zone and graben,144,1006,"<750,000",4,<0.2,4,N,Southwest,,1,Well constrained,250,,1,1006,,39,Arizona Geological Survey,5.33689546000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1006&section_id=,14,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1006
4945,Drum Mountains fault zone,124,2432,"<15,000",2,<0.2,4,N,Unspecified,,1,Well constrained,250,,1,2432,,169,Utah Geological Survey,0.24969237000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=2432&section_id=,12,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=2432
4562,Columbia Hills structures (Class B),164,568,Class B,6,<0.2,4,T,North,,1,Well constrained,250,,2,568,,83,U.S. Geological Survey,85.73721809000,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=568,16,
4563,Columbia Hills structures (Class B),364,568,Class B,6,<0.2,4,T,North,,3,Inferred,250,,2,568,,84,U.S. Geological Survey,30.66314423000,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=568,36,
4515,Western Reveille Range fault zone,354,1364,"<1,600,000",5,<0.2,4,N,Unspecified,,3,Inferred,250,,1,1364,,343,"Piedmont Geosciences, Inc.",5.88567850000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1364&section_id=,35,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1364
4564,Damascus-Tickle Creek fault,244,879,"<750,000",4,<0.2,4,SS,Unspecified,,2,Moderately constrained,100,R,3,879,,51,U.S. Geological Survey,117.67172371000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=879&section_id=,24,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=879
4565,Damascus-Tickle Creek fault,344,879,"<750,000",4,<0.2,4,SS,Unspecified,,3,Inferred,100,R,3,879,,213,U.S. Geological Survey,1.50955594000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=879&section_id=,34,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=879
3539,Unnamed fault zone in southeastern Jarbridge Mountains,154,1570,"<1,600,000",5,<0.2,4,N,East,,1,Well constrained,250,,1,1570,,7,"Piedmont Geosciences, Inc.",26.23026496000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1570&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1570
3540,Unnamed fault zone in southern part of Trinity Range,154,1630,"<1,600,000",5,<0.2,4,N,Unspecified,,1,Well constrained,250,,1,1630,,263,"Piedmont Geosciences, Inc.",1.53935174000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1630&section_id=,15,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1630
3541,Unnamed fault zone in the Hays Canyon Range,254,1465,"<1,600,000",5,<0.2,4,N,Unspecified,,2,Moderately constrained,250,,1,1465,,225,"Piedmont Geosciences, Inc.",23.18435318000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1465&section_id=,25,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1465
4567,Whaleshead fault zone,253,897,"<1,600,000",5,0.2-1,3,RL,Unspecified,,2,Moderately constrained,250,,3,897,,344,U.S. Geological Survey,160.68274840000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=897&section_id=,25,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=897
4568,Wheeler Peak fault zone,134,1430,"<130,000",3,<0.2,4,N,West,,1,Well constrained,250,,1,1430,,13,"Piedmont Geosciences, Inc.",11.57907501000,http://geohazards.usgs.gov/cfusion/qfault/show_report_AB.cfm?fault_id=1430&section_id=,13,http://geohazards.usgs.gov/cfusion/qfault/qf_web_ims.cfm?qfault_id=1430
